EMPLID,CL1,CL2,CL3,CL4,CL5,CL6,CL7,CL8,CL9,CL10,CL11,CL12,CL13,CL14,CL15,CL16,CL17,CL18,CL19,CL20,
1009812,0,,0,,,0,0,,0,0,,,,,0,,,,,,0
1009823,0,0,0,,,0,0,0,0,0,0,0,,0,0,,,,,,0
1009930,0,,0,0,0,0,1,,,,,,,,0,,,,,,1
1009935,0,,,,,0,0,0,0,0,0,0,,0,0,,,,,,0
1010030,0,0,0,0,0,0,0,,,,,,0,,0,0,0,0,,,0
1010031,0,,,,,0,0,0,0,0,0,,,,,,,,,,0
1010032,0,0,,,,,,,,,,,0,,1,0,,1,,,2
1010034,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,0
1010139,0,,,,,0,0,0,0,0,0,0,,,0,,,,,,0
1010176,0,,0,,0,0,0,1,0,,,,,,,,,,,,1
1010229,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1010297,0,,,,,0,0,0,0,1,1,,,,0,,,,,,2
1010298,0,0,0,,,0,0,0,0,0,0,0,,,,,,,,,0
1010313,0,,,0,,1,1,,,,,0,,,1,,0,,,,3
1010352,0,0,0,,0,,,,,,,0,,,,,,,0,,0
1010414,0,,0,,,0,0,0,0,0,0,,,,0,,,,,,0
1010483,0,,0,,0,0,0,0,0,0,0,,,,0,,0,,,,0
1010511,0,,,,,0,0,0,0,0,0,0,,,0,,,,,,0
1010545,0,,0,,,0,0,0,0,,,,0,,0,,,0,,,0
1010602,,,,,,,,,,,,0,,,,,,,1,,1
1010634,,,,,,,,,,,,0,,,,,,,0,,0
1010708,,,,,,,,,,,,0,,,,,,,1,,1
1010709,0,,0,0,0,0,1,,,,,,0,0,,,0,0,,,1
1010710,,0,,,,,,,,,,0,0,,,0,,1,1,,2
1010740,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
1010794,0,,,,,0,0,0,0,0,0,0,,,0,,,,,,0
1010812,0,,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0
1010827,0,,0,,,0,0,0,0,0,0,,,,,,,,,,0
1010851,0,,,,,0,0,0,0,0,0,,,,,,,,,,0
1010999,0,,,,0,0,0,0,0,0,0,,,,0,,,,,,0
1011053,0,,0,,,0,0,0,0,,,0,,,0,,,,,,0
1011110,0,,,,,0,0,0,0,1,1,,,,0,,,,,,2
1011112,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1011346,0,,0,0,0,0,0,0,0,1,0,,0,,,0,0,0,,,1
1011361,0,,0,,,0,0,0,0,1,1,,,,,,,,,,2
1011382,0,,0,,0,0,0,0,0,0,0,0,0,,0,,,0,,,0
1011397,0,,0,,0,0,0,0,0,,,,0,0,0,,0,0,,,0
1011406,0,,0,,,0,0,0,0,0,0,,,,0,,,,,,0
1011407,1,0,,,,,,,,,,0,1,0,,0,0,,,,2
1011426,0,,0,,,0,0,0,0,0,0,,,,,,,,,,0
1011466,0,,1,,,,,,,,,0,0,,1,,0,0,,,2
1011472,0,,,,,0,0,0,0,0,0,,,,0,,0,,,,0
1011473,0,0,1,,,,,,,,,,0,,,,0,0,,,1
1011474,0,,0,0,0,0,0,,,,,,0,,,,,0,,,0
1011475,,,,,,,,,,,,0,1,0,1,,,,,,2
1011613,,1,,,,,,,,,,0,,,,1,,,1,,3
1011622,0,,0,,,0,0,0,0,,,,0,,0,,,0,,,0
1011626,0,0,1,0,,,,,,,,,,,0,,,,,,1
1011634,0,,,,,0,0,0,0,0,0,,,0,,,0,,,,0
1011704,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1011791,0,0,,,,,,,,,,0,0,0,,0,0,1,0,,1
1011805,0,,,,,0,0,0,0,0,0,0,,,0,,,,,,0
1011809,0,0,,,,0,0,0,0,0,0,,0,,0,,,0,,,0
